Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-28T17:20:08Z, Acceleration (via User), y, -0.000240104258409701
2016-11-28T17:20:08Z, Acceleration (via User), z, 0.00347979296930134
2016-11-28T17:20:08Z, Attitude, Roll, 0.112181959876808
2016-11-28T17:20:08Z, Attitude, Yaw, -1.16985491600104
2016-11-28T17:20:08Z, Attitude, Pitch, 0.00960196223081969
2016-11-28T17:20:08Z, Magnetometer (corrected for device), x, -27.443977355957
2016-11-28T17:20:08Z, Magnetometer (corrected for device), y, -27.5419273376465
2016-11-28T17:20:08Z, Magnetometer (corrected for device), z, -27.3066711425781
2016-11-28T17:20:08Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:20:13Z, GPS, Latitude, 42.3387496855367
2016-11-28T17:20:13Z, GPS, Longitude, -71.0881954181225
2016-11-28T17:20:13Z, GPS, Altitude, 7.01904916763306
2016-11-28T17:20:13Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:20:15Z, GPS, Latitude, 42.3387556872633
2016-11-28T17:20:15Z, GPS, Longitude, -71.0881895761812
2016-11-28T17:20:15Z, GPS, Altitude, 7.37816429138184
2016-11-28T17:20:15Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:20:17Z, Acceleration (via User), x, -0.000407560379244387
2016-11-28T17:20:17Z, Acceleration (via User), y, -0.000507156306412071
2016-11-28T17:20:17Z, Acceleration (via User), z, 0.00343337468802929
2016-11-28T17:20:17Z, Attitude, Roll, 0.112189642806253
2016-11-28T17:20:17Z, Attitude, Yaw, -1.16973744204661
2016-11-28T17:20:17Z, Attitude, Pitch, 0.00957904974124641
2016-11-28T17:20:17Z, Magnetometer (corrected for device), x, -27.5936813354492
2016-11-28T17:20:17Z, Magnetometer (corrected for device), y, -27.6180229187012
2016-11-28T17:20:17Z, Magnetometer (corrected for device), z, -26.63232421875
2016-11-28T17:20:17Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:20:24Z, GPS, Latitude, 42.3387559035914
2016-11-28T17:20:24Z, GPS, Longitude, -71.08818919535
2016-11-28T17:20:24Z, GPS, Altitude, 7.37816429138184
2016-11-28T17:20:24Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:20:26Z, Acceleration (via User), x, -9.52336995396763e-05
2016-11-28T17:20:26Z, Acceleration (via User), y, -7.9923564044293e-05
2016-11-28T17:20:26Z, Acceleration (via User), z, 0.00118790683336556
2016-11-28T17:20:26Z, Attitude, Roll, 0.112074954879495
2016-11-28T17:20:26Z, Attitude, Yaw, -1.16937715132624
2016-11-28T17:20:26Z, Attitude, Pitch, 0.00957903640650989
2016-11-28T17:20:26Z, Magnetometer (corrected for device), x, -27.8198776245117
2016-11-28T17:20:26Z, Magnetometer (corrected for device), y, -27.318660736084
2016-11-28T17:20:26Z, Magnetometer (corrected for device), z, -27.6039123535156
2016-11-28T17:20:26Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:20:27Z, GPS, Latitude, 42.3387640603551
2016-11-28T17:20:27Z, GPS, Longitude, -71.0882085165869
2016-11-28T17:20:27Z, GPS, Altitude, 7.71340942382812
2016-11-28T17:20:27Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:20:35Z, Acceleration (via User), x, 0.00105865020304918
2016-11-28T17:20:35Z, Acceleration (via User), y, 0.00021758078946732
2016-11-28T17:20:35Z, Acceleration (via User), z, 0.00368510605767369
2016-11-28T17:20:35Z, Attitude, Roll, 0.111988600061855
2016-11-28T17:20:35Z, Attitude, Yaw, -1.17033953718371
2016-11-28T17:20:35Z, Attitude, Pitch, 0.00954084565994542
2016-11-28T17:20:35Z, Magnetometer (corrected for device), x, -27.7430801391602
2016-11-28T17:20:35Z, Magnetometer (corrected for device), y, -27.7682762145996
2016-11-28T17:20:35Z, Magnetometer (corrected for device), z, -27.6087036132812
2016-11-28T17:20:35Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:20:36Z, GPS, Latitude, 42.3387642503998
2016-11-28T17:20:36Z, GPS, Longitude, -71.0882081793148
2016-11-28T17:20:36Z, GPS, Altitude, 7.71340942382812
2016-11-28T17:20:36Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:20:42Z, GPS, Latitude, 42.3387571907027
2016-11-28T17:20:42Z, GPS, Longitude, -71.0882138650744
2016-11-28T17:20:42Z, GPS, Altitude, 8.01047515869141
2016-11-28T17:20:42Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:20:44Z, Acceleration (via User), x, 0.0001068086567102
2016-11-28T17:20:44Z, Acceleration (via User), y, -0.000652123067993671
2016-11-28T17:20:44Z, Acceleration (via User), z, 0.00261308019980788
2016-11-28T17:20:44Z, Attitude, Roll, 0.112316649431458
2016-11-28T17:20:44Z, Attitude, Yaw, -1.17084521506247
2016-11-28T17:20:44Z, Attitude, Pitch, 0.00929674131896375
2016-11-28T17:20:44Z, Magnetometer (corrected for device), x, -27.5189743041992
2016-11-28T17:20:44Z, Magnetometer (corrected for device), y, -27.5422019958496
2016-11-28T17:20:44Z, Magnetometer (corrected for device), z, -27.5315856933594
2016-11-28T17:20:44Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:20:51Z, GPS, Latitude, 42.338757354295
2016-11-28T17:20:51Z, GPS, Longitude, -71.0882135749823
2016-11-28T17:20:51Z, GPS, Altitude, 8.01047515869141
2016-11-28T17:20:51Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:20:53Z, Acceleration (via User), x, -0.000516265979968011
2016-11-28T17:20:53Z, Acceleration (via User), y, -0.000395303388359025
