Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-19T19:49:26Z, Attitude, Yaw, 0.260454919529819
2016-11-19T19:49:26Z, Attitude, Pitch, 0.000581202488091122
2016-11-19T19:49:26Z, Acceleration (via User), x, 0.00101696082856506
2016-11-19T19:49:26Z, Acceleration (via User), y, -0.000410618842579424
2016-11-19T19:49:26Z, Acceleration (via User), z, 0.00204212102107704
2016-11-19T19:49:26Z, Magnetometer (corrected for device), x, -14.3092079162598
2016-11-19T19:49:26Z, Magnetometer (corrected for device), y, 7.57610321044922
2016-11-19T19:49:26Z, Magnetometer (corrected for device), z, -52.6263122558594
2016-11-19T19:49:26Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:49:26Z, GPS, Latitude, 42.3388282198326
2016-11-19T19:49:26Z, GPS, Longitude, -71.0882345246337
2016-11-19T19:49:26Z, GPS, Altitude, 9.99517059326172
2016-11-19T19:49:26Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:35Z, Attitude, Roll, -0.0330626080958653
2016-11-19T19:49:35Z, Attitude, Yaw, 0.260675424370434
2016-11-19T19:49:35Z, Attitude, Pitch, 0.000487100700781196
2016-11-19T19:49:35Z, Acceleration (via User), x, -0.00147405883762985
2016-11-19T19:49:35Z, Acceleration (via User), y, 0.00230289646424353
2016-11-19T19:49:35Z, Acceleration (via User), z, 0.0223873239010572
2016-11-19T19:49:35Z, Magnetometer (corrected for device), x, -14.3086128234863
2016-11-19T19:49:35Z, Magnetometer (corrected for device), y, 7.42610931396484
2016-11-19T19:49:35Z, Magnetometer (corrected for device), z, -52.6278991699219
2016-11-19T19:49:35Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:49:35Z, GPS, Latitude, 42.3388283622185
2016-11-19T19:49:35Z, GPS, Longitude, -71.0882342856567
2016-11-19T19:49:35Z, GPS, Altitude, 9.99517059326172
2016-11-19T19:49:35Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:38Z, GPS, Latitude, 42.3388301783402
2016-11-19T19:49:38Z, GPS, Longitude, -71.088214725305
2016-11-19T19:49:38Z, GPS, Altitude, 9.95082187652588
2016-11-19T19:49:38Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:44Z, Attitude, Roll, -0.0329523673178297
2016-11-19T19:49:44Z, Attitude, Yaw, 0.260634346453327
2016-11-19T19:49:44Z, Attitude, Pitch, 0.000296818359748594
2016-11-19T19:49:44Z, Acceleration (via User), x, 0.000735098903533071
2016-11-19T19:49:44Z, Acceleration (via User), y, 0.00116656930185854
2016-11-19T19:49:44Z, Acceleration (via User), z, 0.00325651443563402
2016-11-19T19:49:44Z, Magnetometer (corrected for device), x, -14.0854072570801
2016-11-19T19:49:44Z, Magnetometer (corrected for device), y, 7.87747955322266
2016-11-19T19:49:44Z, Magnetometer (corrected for device), z, -53.1483764648438
2016-11-19T19:49:44Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:49:47Z, GPS, Latitude, 42.3388303063986
2016-11-19T19:49:47Z, GPS, Longitude, -71.0882145112679
2016-11-19T19:49:47Z, GPS, Altitude, 9.95082187652588
2016-11-19T19:49:47Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:49Z, GPS, Latitude, 42.3388266731405
2016-11-19T19:49:49Z, GPS, Longitude, -71.0882267292762
2016-11-19T19:49:49Z, GPS, Altitude, 9.97044563293457
2016-11-19T19:49:49Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:53Z, Acceleration (via User), x, 0.00146411254536361
2016-11-19T19:49:53Z, Acceleration (via User), y, 0.000997117022052407
